Selection,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_File,Center_Freq,Peak_Freq,Call_type
1,596.4580871,597.1085806,2189.474,2403.974,201875479.190323211002_+20dB.wav,2273.438,2250,flatws
2,1035.148862,1035.468596,1846.154,2206.379,201875479.190323213002_+20dB.wav,2039.062,2039.062,aws
3,1051.378164,1051.797126,1936.842,2063.158,201875479.190323213002_+20dB.wav,1992.188,1992.188,flatws
4,1830.772669,1831.479151,397.351,1167.5,201875479.190323220002_+20dB.wav,562.5,539.062,dws
5,1833.560703,1834.235063,417.219,973.51,201875479.190323220002_+20dB.wav,796.875,843.75,dws
6,1845.24807,1846.334063,695.364,1430.464,201875479.190323220002_+20dB.wav,960.938,1007.812,modws.m.seg
7,1846.899657,1848.15103,675.497,1414.1,201875479.190323220002_+20dB.wav,1007.812,1007.812,modws.m.seg
8,1887.560677,1888.523492,357.616,1152.318,201875479.190323220002_+20dB.wav,515.625,515.625,dws.seg
9,1891.961391,1894.326263,2989.474,3200,201875479.190323220002_+20dB.wav,3117.188,3117.188,flatws
10,1896.567246,1898.204505,2947.368,3136.842,201875479.190323220002_+20dB.wav,3093.75,3093.75,flatws
11,1941.848268,1942.314072,412.4,1099.8,201875479.190323220002_+20dB.wav,562.5,562.5,dws
12,1948.627348,1949.227646,412.4,1198,201875479.190323220002_+20dB.wav,679.688,703.125,dws.seg
13,1954.420095,1954.932772,432.1,1060.6,201875479.190323220002_+20dB.wav,750,843.75,dws
14,1955.401347,1955.985689,476.821,1060.6,201875479.190323220002_+20dB.wav,843.75,867.188,dws
15,1963.689657,1964.251948,412.4,1080.2,201875479.190323220002_+20dB.wav,703.125,703.125,dws.seg
16,1969.704001,1970.337956,387.1,1466.9,201875479.190323220002_+20dB.wav,609.375,562.5,dws.seg
17,1974.659911,1975.337967,476.821,953.642,201875479.190323220002_+20dB.wav,726.562,703.125,dws
18,2018.612506,2019.599271,673.684,1073.684,201875479.190323220002_+20dB.wav,773.438,773.438,flatws
19,2023.116346,2023.838504,694.737,926.316,201875479.190323220002_+20dB.wav,773.438,773.438,flatws
20,2030.330755,2031.036375,736.842,945.591,201875479.190323220002_+20dB.wav,843.75,867.188,flatws
21,2031.995582,2033.05952,2994.836,4312.5,201875479.190323220002_+20dB.wav,3468.75,3421.875,modws
22,2044.018726,2044.829103,2971.857,3473.684,201875479.190323220002_+20dB.wav,3117.188,3140.625,dws
23,2044.746413,2045.727666,3073.684,3305.263,201875479.190323220002_+20dB.wav,3187.5,3093.75,flatws
24,2048.456415,2048.693459,1520.8,2125,201875479.190323220002_+20dB.wav,1781.25,1781.25,dws
25,2078.332948,2078.740893,640.275,1104.2,201875479.190323220002_+20dB.wav,890.625,773.438,dws
26,2080.925011,2081.487302,557.659,1074.01,201875479.190323220002_+20dB.wav,937.5,984.375,dws
27,2082.28831,2083.335723,619.621,2020.8,201875479.190323220002_+20dB.wav,796.875,773.438,modws.seg
28,2089.995582,2091.891935,757.895,1010.526,201875479.190323220002_+20dB.wav,914.062,914.062,flatws
29,2139.482905,2139.95148,625,1031.579,201875479.190323221002_+20dB.wav,820.312,820.312,dws
30,2153.015441,2153.671429,1354.2,2652.632,201875479.190323221002_+20dB.wav,1804.688,1804.688,modws.seg
31,2153.770675,2154.432193,619.621,8137.694,201875479.190323221002_+20dB.wav,1007.812,1007.812,pulse.flat
32,2340.574575,2341.657091,3326.316,6610.526,201875479.190323221002_+20dB.wav,3750,3398.438,modws.seg
33,2366.063943,2366.535822,970.74,2294.737,201875479.190323221002_+20dB.wav,1875,1898.438,modws
34,2367.406822,2367.820271,1229.2,2294.737,201875479.190323221002_+20dB.wav,1804.688,1781.25,nws
35,2389.167308,2389.853363,1239.243,2210.526,201875479.190323221002_+20dB.wav,1781.25,1734.375,modws.seg
36,2397.302688,2398.707061,2726.334,5873.684,201875479.190323221002_+20dB.wav,4148.438,3820.312,modws
37,2397.898433,2399.010028,589.474,1515.789,201875479.190323221002_+20dB.wav,914.062,867.188,dws.seg
38,2444.314644,2446.028657,1466.437,9067.126,201875479.190323222002_+20dB.wav,4921.875,6117.188,pulse.d
39,2447.908473,2449.556757,1631.67,9273.666,201875479.190323222002_+20dB.wav,4687.5,4664.062,pulse.d
40,2456.288974,2457.781922,541.7,11669.535,201875479.190323222002_+20dB.wav,2179.688,656.25,pulse.d
41,2475.116757,2475.755818,666.7,7520.8,201875479.190323222002_+20dB.wav,1757.812,1734.375,pulse.flat.seg.3
42,2476.31748,2477.425524,702.238,7437.5,201875479.190323222002_+20dB.wav,1804.688,1828.125,pulse.flat.seg.3
43,2486.013214,2486.696783,743.546,8562.5,201875479.190323222002_+20dB.wav,2085.938,2109.375,pulse.flat.seg.3
44,2488.675827,2490.509353,5122.203,8736.842,201875479.190323222002_+20dB.wav,6609.375,6445.312,modws.sa.seq
45,2504.423359,2505.702296,681.583,7229.2,201875479.190323222002_+20dB.wav,1640.625,1593.75,pulse.flat.seg.3
46,2506.214973,2506.804827,625,8479.2,201875479.190323222002_+20dB.wav,1171.875,1195.312,pulse.n
47,2509.008795,2510.149915,1528.399,8509.466,201875479.190323222002_+20dB.wav,4992.188,5226.562,pulse.flat.seg
48,2526.177355,2527.472829,1053.356,9191.05,201875479.190323222002_+20dB.wav,3257.812,2695.312,pulse.mod
49,2528.503695,2531.171821,1487.091,8385.542,201875479.190323222002_+20dB.wav,2531.25,2132.812,pulse.mod
50,2558.3985,2559.318437,3139.415,5136.842,201875479.190323222002_+20dB.wav,3867.188,3632.812,modws.seg
51,2584.757235,2585.444295,3895.8,6210.526,201875479.190323222002_+20dB.wav,5179.688,4992.188,uws
52,2588.86493,2589.587087,3634.409,5250,201875479.190323222002_+20dB.wav,4406.25,5062.5,modws
53,2618.577714,2618.820271,4543.89,8064.516,201875479.190323222002_+20dB.wav,6117.188,5343.75,modws.sa
54,2643.504377,2644.276149,6520.8,9831.325,201875479.190323222002_+20dB.wav,7687.5,7125,aws.seq
55,2659.796995,2662.026672,9073.684,9978.947,201875479.190323222002_+20dB.wav,9585.938,9890.625,dws.seq
56,2671.990069,2672.530309,4484.211,6842.105,201875479.190323222002_+20dB.wav,5085.938,4734.375,uws
57,2676.94322,2677.147188,5313.321,8532.833,201875479.190323222002_+20dB.wav,6304.688,6281.25,modws.sa
58,2682.065594,2682.958645,784.854,4378.657,201875479.190323222002_+20dB.wav,914.062,914.062,pulse.flat
59,2685.962487,2686.67362,6610.526,6815.835,201875479.190323222002_+20dB.wav,6726.562,6750,flatws
60,2687.794915,2688.551245,1487.091,11049.914,201875479.190323222002_+20dB.wav,5179.688,5320.312,pulse.flat
61,2723.453702,2724.210018,660.929,4853.701,201875479.190323223002_+20dB.wav,984.375,796.875,pulse.flat.seg.4
62,2725.377619,2726.29272,764.2,3180.723,201875479.190323223002_+20dB.wav,1546.875,1570.312,pulse.flat.seg.4
63,2729.446,2729.931114,7750,8625,201875479.190323223002_+20dB.wav,8367.188,8367.188,aws
64,2766.389677,2766.779481,8055.077,8819.277,201875479.190323223002_+20dB.wav,8507.812,8671.875,modws
65,2824.135586,2824.411219,640.275,1012.048,201875479.190323223002_+20dB.wav,914.062,937.5,dws
66,2833.415638,2834.132283,268.503,11628.227,201875479.190323223002_+20dB.wav,492.188,445.312,pulse.a
67,2837.246934,2838.134474,2541.7,11729.2,201875479.190323223002_+20dB.wav,5671.875,4640.625,pulse.a
68,2884.983999,2885.998329,145.8,11916.7,201875479.190323223002_+20dB.wav,984.375,609.375,pulse.a
69,2886.320828,2886.524797,4818.011,8285.178,201875479.190323223002_+20dB.wav,6210.938,6117.188,modws.sa
70,2887.75659,2888.296831,742.964,3196.998,201875479.190323223002_+20dB.wav,1640.625,1593.75,pulse.flat.seg.3
71,2950.630074,2951.219928,1363.167,10041.7,201875479.190323223002_+20dB.wav,1968.75,1898.438,pulse.d
72,2972.551802,2973.378701,578.313,11099.437,201875479.190323223002_+20dB.wav,1828.125,1781.25,pulse.flat
73,2995.90297,2996.42116,5673.546,9748.593,201875479.190323223002_+20dB.wav,6515.625,5976.562,aws
74,3031.327993,3031.901309,800,989.474,201875479.190323224002_+20dB.wav,890.625,914.062,flatws
75,3049.266238,3050.004934,2770.8,4853.701,201875479.190323224002_+20dB.wav,4382.812,4453.125,dws
76,3059.696246,3060.638911,4172.117,4666.7,201875479.190323224002_+20dB.wav,4476.562,4453.125,trill
77,3060.694037,3061.019284,1363.167,2145.8,201875479.190323224002_+20dB.wav,1781.25,1875,dws
78,3061.572201,3061.792707,1553.471,2296.435,201875479.190323224002_+20dB.wav,1898.438,1898.438,dws
79,3062.375397,3063.759074,4000,4541.7,201875479.190323224002_+20dB.wav,4382.812,4382.812,trill
80,3106.206714,3107.121815,6154.905,9958.3,201875479.190323224002_+20dB.wav,6914.062,6726.562,aws.seq
81,3407.375397,3408.43934,708.3,3325.301,201875479.190323225002_+20dB.wav,1593.75,1617.188,pulse.flat.seg.4
82,3879.807594,3881.025891,479.2,12000,201875479.190323230002_+20dB.wav,4101.562,890.625,pulse.flat
83,3889.088182,3890.53801,413.081,11833.3,201875479.190323230002_+20dB.wav,3375,1898.438,pulse.flat.seg
