Call_type,mean_dur,sd_dur,mean_LF,sd_LF,mean_HF,sd_HF,mean_bw,sd_bw,mean_center,sd_center,mean_peak,sd_peak
aws,0.4,0.2,3010.4,2378.7,4639.8,3588.1,1629.4,1702.4,3637.5,2743.2,3642.2,2791.8
aws.seg,0.7,0.3,4649,1532.8,7058,1634.8,2409,1191.4,5768.6,1717,6023.4,1982.2
aws.seq,1,0.4,5356.7,1464.3,9409.9,2535.9,4053.2,1307.1,6830.7,1787.8,6489.6,1684.1
c.5,1.9,0.4,1315.5,985.3,11989.7,19.1,10674.2,995.1,3257.8,968.5,3293,1128.8
dottrill,0.9,0.4,4473.4,1348.7,5034.1,1294.5,560.7,179.2,4765.6,1232.7,4726.6,1115.5
dws,0.5,0.3,1091.6,1008.5,1948.5,1327.9,857,672.9,1439.5,1083.8,1426,1080.4
dws.seg,0.9,0.3,1684,1710.7,3274.3,1992.4,1590.3,1015.8,2162.9,1961.9,2164.6,1955.1
dws.seq,0.9,0.6,2356,2606.6,3376.4,2731.3,1020.5,441.4,2799.4,2806.9,2790,2868.7
dws.seq.t,1.2,0.5,600.3,139.3,1749.9,475.7,1149.6,359.7,779.3,105.5,808.6,102.2
flatws,0.6,0.3,1461.3,1415,1672.5,1416.6,211.2,65,1576.1,1415.1,1576.9,1416.5
flatws.seg,1.1,0.5,1875.6,1670.3,2132.5,1766.8,256.9,125.7,2013.9,1736.5,2012.2,1732.5
modws,1,0.5,2088.1,1803.9,3292.3,2179.5,1204.2,861.7,2589,1955.7,2569.2,2003.3
modws.m,0.9,0.3,3386.6,1627.2,5066,2167.6,1679.4,668.3,4218.8,2102.3,3908.2,1687.5
modws.m.seg,1.1,0.1,646.1,67.3,1413.6,79.3,767.4,75.4,928.1,73.4,909.4,137.1
modws.sa,0.2,0,4891.7,390,8294.2,234.3,3402.4,160.7,6210.9,93.8,5914.1,500.7
modws.sa.seq,1.5,0.6,5424.8,303.1,8249.5,413.4,2824.7,665.9,6699.8,167.1,6468.8,325.3
modws.seg,1.2,0.5,2319.7,1733.5,4110.3,2679.9,1790.5,1192.6,2950.3,2119,2879.1,2067.7
modws.seg.t,1.1,0.2,597.6,188.3,1772.5,116,1175,199.4,1021.9,309.9,993.7,325
modws.t,0.9,0.2,766.5,635.2,2734.5,852.1,1968,1075.7,1246.9,891,1190.6,913.4
nws,0.4,0.2,1488.5,2010,2378.2,2004.6,889.7,310.5,2021.2,2064.8,2021.2,2108.2
nws.seg,0.5,0.1,2084.3,2952.6,3356.1,2789.6,1271.8,226.3,2820.3,3127,3000,2996.7
nws.seq,0.8,0.6,2967.4,1904.8,3462.3,1832.9,494.9,209,3150,1968.1,3173.4,2015.5
pulse.a,0.9,0.4,1068.6,743.6,10279.1,2749.3,9210.5,2583.1,2405.1,1643.4,1857.1,1401.7
pulse.d,0.8,0.3,917.2,417.8,8608.6,2906.2,7691.3,2807.2,1774.6,1084.8,1607.1,1086.4
pulse.d.bc,1.4,0.6,803.7,302.6,9241.3,1899.5,8437.6,1996.8,1533.2,368.7,1525.4,385.6
pulse.d.seg,1.4,0.4,740.4,629.3,9307.7,2143.7,8567.3,1967.9,2572.3,1558.5,1699.2,1408
pulse.flat,0.9,0.4,1387.9,1052.6,7747.5,3271.1,6359.6,3106.7,2571.1,1586.9,2380.1,1607.3
pulse.flat.bc,2,1,1143.2,341.9,9829.5,829.6,8686.3,700.2,1421.9,352.6,1406.2,353.9
pulse.flat.seg,1.8,1.4,1285.1,953.2,10403.1,1943.3,9118,2127.1,3298.6,1413.8,3160.1,1864.9
pulse.flat.seg.1,0.9,0.2,793.7,368.3,4831.1,1708.5,4037.4,1504.2,1574.2,428.2,1566.4,447
pulse.flat.seg.2,1,0.2,663.3,73.9,3511.5,1284.8,2848.2,1347.8,1031.2,198.3,1007.8,228.4
pulse.flat.seg.3,1,0.3,722.6,66.8,6181.7,2493.5,5459.1,2465.6,1706.5,350.3,1646.5,350.3
pulse.flat.seg.4,1,0.3,842.6,240.6,5109.1,1724.1,4266.5,1698,1406.2,332.8,1390.6,426.7
pulse.mod,1.2,0.6,1482.7,901.8,9330.3,2020.8,7847.5,1582.5,3153.8,1571.7,2893.1,1648.5
pulse.mod.bc,2.4,0.4,985.9,197.1,9522.7,2058.5,8536.8,2047.7,2343.7,1135.2,2419.9,1138.8
pulse.mod.seg,1,0.2,1335,300.8,9833,1337.2,8498,1394,4591.4,1128.2,4410.9,1744.5
pulse.n,0.5,0.2,1807.8,1401.6,8960.4,2940.1,7152.6,2764.3,2933.6,2067.7,2996.1,2112.3
rws,0.3,0.1,1513.7,74.7,2019.2,76.6,505.5,94.8,1906.3,70.6,1878.9,127
trill,1.2,0.8,3629.4,774.6,4129.9,724,500.4,200.2,3928.2,762.7,3917.5,766.2
uws,0.4,0.3,2787.8,2102.1,4179.8,3146.1,1392.1,1325.4,3229.9,2404.1,3168.6,2362.1
uws.seq,1.3,0.5,3382.6,935.1,5092.3,1505.1,1709.7,906.7,3808.6,1054.7,3728.9,1041
