call_type,min,max
c.5,121.6,748.8
c.5,143.1,738.6
c.5,157.4,728.5
c.5,117.6,704.8
c.5,124.6,685.1
c.5,131.5,724.3
c.5,131.5,692.2
c.5,117.7,699
c.5,110.7,664.4
pulse.a,307.6,475.3
pulse.a,335.5,517.2
pulse.a,363.4,517.2
pulse.a,433.4,545.2
pulse.a,433.3,517.2
pulse.a,447.4,545.2
pulse.a,433.4,573.1
pulse.a,475.3,601.1
pulse.a,461.3,601.1
pulse.a,866.7,1076.4
pulse.a,936.6,1076.4
pulse.a,251.6,349.4
pulse.a,293.6,349.5
pulse.a,321.5,349.5
pulse.a,992.6,1146.3
pulse.a,1034.4,1202.2
pulse.a,1062.4,1160.2
pulse.a,405.4,447.3
pulse.a,405.3,489.3
pulse.a,363.5,461.3
pulse.a,321.5,503.3
pulse.a,321.5,475.3
pulse.a,321.5,475.2
pulse.a,335.4,461.3
pulse.a,321.6,475.3
pulse.a,293.5,489.3
pulse.a,391.4,810.8
pulse.a,349.5,824.8
pulse.a,377.4,810.8
pulse.d,848.5,981.1
pulse.d,822,954.6
pulse.d,636.4,1698
pulse.d,596.6,1564.4
pulse.d,596.6,1640.7
pulse.d,629.6,1092.7
pulse.d,610.5,1146.7
pulse.d,610.5,1094
pulse.d,917.3,1092.7
pulse.d,957.8,1038.7
pulse.d,957.8,1106.2
pulse.d,1119.7,1497.4
pulse.d,1281.6,1457
pulse.d,1268,1470.4
pulse.d,1510.9,1875.2
pulse.d,1510.9,1915.5
pulse.d,1483.9,1861.7
pulse.d,512.6,755.4
pulse.d,566.6,701.5
pulse.d,539.6,728.5
pulse.d,741.9,876.8
pulse.d,755.5,890.4
pulse.d,728.4,890.3
pulse.d,1510.9,1591.9
pulse.d,1578.3,1591.8
pulse.d,1551.4,1632.3
pulse.d,714.9,903.8
pulse.d,755.5,903.9
pulse.d,688,876.8
pulse.d.bc,901.8,2022.3
pulse.d.bc,888.2,2022.2
pulse.d.bc,724.2,2008.6
pulse.d.bc,710.6,1940.2
pulse.d.bc,669.5,1844.6
pulse.d.bc,724.2,1817.3
pulse.d.bc,683.2,1762.7
pulse.d.bc,669.5,1776.3
pulse.d.bc,642.2,1680.6
pulse.d.bc,409.9,888.2
pulse.d.bc,396.3,806.1
pulse.d.bc,819.8,1749
pulse.d.bc,833.5,1680.7
pulse.d.bc,819.9,1735.3
pulse.d.bc,792.5,1530.3
pulse.d.bc,806.2,1503.1
pulse.d.bc,792.5,1557.6
pulse.d.bc,751.6,1462
pulse.d.bc,710.5,1475.7
pulse.d.bc,724.2,1448.4
pulse.d.bc,778.9,1912.9
pulse.d.bc,765.1,1858.3
pulse.d.bc,765.2,1803.7
pulse.d.bc,655.8,1639.7
pulse.d.bc,683.2,1749
pulse.d.bc,683.2,1803.6
pulse.d.seg,636.7,955.1
pulse.d.seg,581.4,927.4
pulse.d.seg,664.4,955.1
pulse.d.seg,622.9,678.3
pulse.d.seg,498.3,678.2
pulse.d.seg,122.4,378.1
pulse.d.seg,127.2,372
pulse.d.seg,117.5,362.1
pulse.d.seg,207.6,436
pulse.d.seg,186.9,436
pulse.d.seg,144.3,394.9
pulse.d.seg,142.1,451.9
pulse.d.seg,126.8,403.8
pulse.d.seg,154.2,317.2
pulse.d.seg,107.4,323.8
pulse.d.seg,116.9,323.9
pulse.d.seg,356.8,409.7
pulse.d.seg,304,449.4
pulse.d.seg,356.9,422.9
pulse.d.seg,317.2,449.4
pulse.d.seg,317.2,422.9
pulse.d.seg,343.6,436.2
pulse.d.seg,300.5,436.1
pulse.d.seg,308.4,436.2
pulse.d.seg,289.8,409.7
pulse.d.seg,343.1,488.3
pulse.d.seg,211.2,422.2
pulse.d.seg,277.1,448.7
pulse.flat,800,809.7
pulse.flat,809.7,809.8
pulse.flat,829.3,956.1
pulse.flat,829.2,956.1
pulse.flat,819.5,956.1
pulse.flat,712.2,858.5
pulse.flat,761,848.8
pulse.flat,231.9,234.5
pulse.flat,241.4,220.8
pulse.flat,220.8,234.5
pulse.flat,193.1,241.5
pulse.flat,186.3,200.1
pulse.flat,248.3,248.3
pulse.flat,896.8,958.9
pulse.flat,958.9,945.1
pulse.flat,979.6,952
pulse.flat,1453.6,1512.2
pulse.flat,1482.9,1492.7
pulse.flat,1483,1473.2
pulse.flat,887.8,917.1
pulse.flat,848.8,956.1
pulse.flat,1545.3,1531.5
pulse.flat,1490.1,1545.3
pulse.flat,1531.5,1545.2
pulse.flat,839,956.1
pulse.flat,800,936.6
pulse.flat,819.5,936.6
pulse.flat.bc,892.5,1705
pulse.flat.bc,879.2,1878.2
pulse.flat.bc,879.2,1651.8
pulse.flat.bc,719.4,1119
pulse.flat.bc,785.9,1065.6
pulse.flat.bc,732.6,1105.6
pulse.flat.bc,785.9,1185.5
pulse.flat.bc,759.3,1198.9
pulse.flat.bc,772.6,1052.3
pulse.flat.seg,202.6,272.9
pulse.flat.seg,202.5,286.5
pulse.flat.seg,229.6,286.4
pulse.flat.seg,252.4,252.4
pulse.flat.seg,231.9,225.1
pulse.flat.seg,218.3,245.6
pulse.flat.seg,414.8,443.7
pulse.flat.seg,424.4,453.4
pulse.flat.seg,434.1,463
pulse.flat.seg,97.9,434.1
pulse.flat.seg,106.8,453.4
pulse.flat.seg,87.7,450.4
pulse.flat.seg,92.3,450.3
pulse.flat.seg,83,443.9
pulse.flat.seg,104.4,437.3
pulse.flat.seg,69.3,437.3
pulse.flat.seg,90,463.4
pulse.flat.seg,104.1,450.4
pulse.flat.seg,113.7,476.5
pulse.flat.seg,133.9,443.9
pulse.flat.seg,450.4,450.4
pulse.flat.seg,411.2,443.8
pulse.flat.seg,430.8,456.9
pulse.flat.seg,359,417.7
pulse.flat.seg,404.6,430.8
pulse.flat.seg,424.3,430.8
pulse.flat.seg.1,853.081,1742.405
pulse.flat.seg.1,908.447,1797.566
pulse.flat.seg.1,869.79,1797.565
pulse.flat.seg.1,947.104,1816.894
pulse.flat.seg.1,927.776,1797.565
pulse.flat.seg.1,811.803,1836.223
pulse.flat.seg.1,869.79,1836.222
pulse.flat.seg.2,967.7,1548.4
pulse.flat.seg.2,1050.7,1576
pulse.flat.seg.2,912.5,1147.5
pulse.flat.seg.2,1050.7,1271.9
pulse.flat.seg.2,995.4,1645.1
pulse.flat.seg.2,1050.7,1576
pulse.flat.seg.2,953.9,1631.4
pulse.flat.seg.2,1023,1603.7
pulse.flat.seg.2,926.2,1631.3
pulse.flat.seg.2,898.6,1534.5
pulse.flat.seg.3,782.7,1757.5
pulse.flat.seg.3,851.2,1757.4
pulse.flat.seg.3,1016,1606.4
pulse.flat.seg.3,1098.4,1620.2
pulse.flat.seg.3,837.5,1578.9
pulse.flat.seg.3,933.6,1565.2
pulse.flat.seg.3,961.1,1524.1
pulse.flat.seg.3,1016,1551.4
pulse.flat.seg.3,865,1633.8
pulse.flat.seg.3,878.8,1606.4
pulse.flat.seg.3,837.5,1510.3
pulse.flat.seg.3,947.4,1510.3
pulse.flat.seg.3,892.5,1661.3
pulse.flat.seg.3,1070.9,1565.2
pulse.flat.seg.3,1002.3,1812.3
pulse.flat.seg.3,933.7,1716.3
pulse.flat.seg.3,851.3,1606.4
pulse.flat.seg.3,810.1,1578.9
pulse.flat.seg.4,929.032,1558.065
pulse.flat.seg.4,967.742,1635.483
pulse.flat.seg.4,889.586,1573.883
pulse.flat.seg.4,889.586,1655.998
pulse.flat.seg.4,1035.484,1529.032
pulse.flat.seg.4,1035.484,1519.355
pulse.mod,217.8,344.8
pulse.mod,300,357.9
pulse.mod,271.9,318.2
pulse.mod,238.6,238.7
pulse.mod,225.4,238.6
pulse.mod,238.6,251.9
pulse.mod,150,309.4
pulse.mod,243.7,290.6
pulse.mod,243.8,309.4
pulse.mod,393.7,468.7
pulse.mod,412.6,450
pulse.mod,468.7,468.8
pulse.mod,729.2,1365.6
pulse.mod,848.5,1339.1
pulse.mod,490.6,782.3
pulse.mod,596.6,782.2
pulse.mod,689.5,676.2
pulse.mod,636.4,954.6
pulse.mod,636.4,941.3
pulse.mod,729.2,981.1
pulse.mod,875,954.6
pulse.mod,755.7,967.9
pulse.mod,835.3,928
pulse.mod,215.7,431.2
pulse.mod,262.5,384.4
pulse.mod,243.7,440.6
pulse.mod.bc,666.6,1694.3
pulse.mod.bc,638.8,1805.4
pulse.mod.bc,611,1652.6
pulse.mod.bc,206.2,677.6
pulse.mod.bc,157.2,687.4
pulse.mod.bc,181.6,677.6
pulse.mod.bc,763.8,1388.8
pulse.mod.bc,763.8,1402.6
pulse.mod.bc,750,1458.2
pulse.mod.bc,708.2,1472.1
pulse.mod.bc,763.9,1402.6
pulse.mod.bc,736,1402.7
pulse.mod.seg,496.1,661.9
pulse.mod.seg,402.5,701.6
pulse.mod.seg,304.5,410.4
pulse.mod.seg,330.9,450
pulse.mod.seg,344.2,397.2
pulse.mod.seg,399.7,1238
pulse.mod.seg,438.5,1238
pulse.mod.seg,425.5,1289.5
pulse.mod.seg,825.4,1018.7
pulse.mod.seg,760.8,1044.6
pulse.mod.seg,1005.9,1044.5
pulse.mod.seg,515.9,541.7
pulse.mod.seg,554.5,580.3
pulse.mod.seg,593.2,554.5
pulse.mod.seg,528.7,580.3
pulse.mod.seg,606.1,580.3
pulse.mod.seg,515.8,593.2
pulse.mod.seg,109.4,720.3
pulse.mod.seg,164.1,711.3
pulse.mod.seg,136.8,720.4
pulse.mod.seg,136.8,720.4
pulse.mod.seg,145.8,720.3
pulse.mod.seg,145.9,720.4
pulse.mod.seg,135.4,702.1
pulse.mod.seg,116.1,720.4
pulse.mod.seg,122.5,702.1
pulse.mod.seg,109.7,665.7
pulse.mod.seg,148.3,683.9
pulse.mod.seg,116,683.8
pulse.n,1483.2,1656.5
pulse.n,1329,1656.5
pulse.n,1425.4,1618
pulse.n,866.8,1348.3
pulse.n,886,1252
pulse.n,828.3,1329.1
pulse.n,462.3,520.1
pulse.n,500.8,443
pulse.n,635.7,1386.8
pulse.n,635.6,1406.1
pulse.n,770.5,1367.6
pulse.n,674.2,963.1
pulse.n,828.2,963
pulse.n,886.1,1020.9
pulse.n,1309.8,1695
pulse.n,1483.1,1579.5
pulse.n,1213.5,1463.8
pulse.n,1020.9,1367.6
pulse.n,1136.4,1425.4
pulse.n,809,943.8
pulse.n,731.9,943.9
pulse.n,674.1,905.3
pulse.n,674.2,963.1
pulse.n,195.5,495.3
pulse.n,168.5,456.2
pulse.n,169.5,495.3
